,DEV_MAE,DEV_MSE,TEST1_MAE,TEST1_MSE,TEST2_MAE,TEST2_MSE,TRAIN_MAE,TRAIN_MSE
39,0.22699061707168885,0.09080070309578887,0.2353729535103911,0.09576554184058636,0.2340523086340902,0.09713214283328196,0.2358086297034684,0.09278957531082817
40,0.2225341847157585,0.08796347901748464,0.23082603958362435,0.0927754811777898,0.2310656429862549,0.09488372386021902,0.22953516176509645,0.08900560512538724
41,0.2264152972519531,0.08750624445290774,0.2298810565994357,0.09031555504340187,0.2380664953412092,0.09621054152780996,0.21678859026453373,0.08153000588311712
42,0.23053996940693866,0.08839937855119939,0.2328582230889024,0.09090071742433296,0.24322746233172066,0.09803424660178106,0.21672599390635824,0.08080162128299408
43,0.2209063205373634,0.08369259566645361,0.2268568963689825,0.08774753269666527,0.23369053142502805,0.09282579377500268,0.21773207492182986,0.08105971067463792
44,0.2220551898848824,0.08606766310414211,0.2267897160570627,0.08943751957259187,0.2333300524632669,0.09437509756613632,0.2164912051218468,0.08196546079868439
45,0.2270161618325001,0.08794952100298682,0.2294105047395565,0.0903444667527873,0.2379654080398397,0.09630454990527773,0.2152911465322678,0.08112901935688067
46,0.2213366111806309,0.08502024057997554,0.2260223007970208,0.08838262226237546,0.2325616496964056,0.09321750617280636,0.21637775408474924,0.08140314223862334
47,0.2256203098889165,0.08622969518065186,0.2284697013312005,0.08888275791854666,0.2374469447125257,0.09505594973436138,0.215125213379828,0.08017344463504934
48,0.22149185434603846,0.08380926551931524,0.2261056618247789,0.08735638330673479,0.23439729769704595,0.09311697415817503,0.21491584962993127,0.07983659974660649
49,0.24370764803219694,0.09620953454960646,0.24059621545559073,0.09614635616767593,0.2537387167143342,0.10472473507252848,0.217413438167348,0.08234559693599174
